Series,Allocated to
2AA - 2AZ,United Kingdom of Great Britain and Northern Ireland
2BA - 2BZ,United Kingdom of Great Britain and Northern Ireland
2CA - 2CZ,United Kingdom of Great Britain and Northern Ireland
2DA - 2DZ,United Kingdom of Great Britain and Northern Ireland
2EA - 2EZ,United Kingdom of Great Britain and Northern Ireland
2FA - 2FZ,United Kingdom of Great Britain and Northern Ireland
2GA - 2GZ,United Kingdom of Great Britain and Northern Ireland
2HA - 2HZ,United Kingdom of Great Britain and Northern Ireland
2IA - 2IZ,United Kingdom of Great Britain and Northern Ireland
2JA - 2JZ,United Kingdom of Great Britain and Northern Ireland
2KA - 2KZ,United Kingdom of Great Britain and Northern Ireland
2LA - 2LZ,United Kingdom of Great Britain and Northern Ireland
2MA - 2MZ,United Kingdom of Great Britain and Northern Ireland
2NA - 2NZ,United Kingdom of Great Britain and Northern Ireland
2OA - 2OZ,United Kingdom of Great Britain and Northern Ireland
2PA - 2PZ,United Kingdom of Great Britain and Northern Ireland
2QA - 2QZ,United Kingdom of Great Britain and Northern Ireland
2RA - 2RZ,United Kingdom of Great Britain and Northern Ireland
2SA - 2SZ,United Kingdom of Great Britain and Northern Ireland
2TA - 2TZ,United Kingdom of Great Britain and Northern Ireland
2UA - 2UZ,United Kingdom of Great Britain and Northern Ireland
2VA - 2VZ,United Kingdom of Great Britain and Northern Ireland
2WA - 2WZ,United Kingdom of Great Britain and Northern Ireland
2XA - 2XZ,United Kingdom of Great Britain and Northern Ireland
2YA - 2YZ,United Kingdom of Great Britain and Northern Ireland
2ZA - 2ZZ,United Kingdom of Great Britain and Northern Ireland
3AA - 3AZ,Monaco
3BA - 3BZ,Mauritius
3CA - 3CZ,Equatorial Guinea
3DA - 3DM,Eswatini
3DN - 3DZ,Fiji
3EA - 3EZ,Panama
3FA - 3FZ,Panama
3GA - 3GZ,Chile
3HA - 3HZ,China
3IA - 3IZ,China
3JA - 3JZ,China
3KA - 3KZ,China
3LA - 3LZ,China
3MA - 3MZ,China
3NA - 3NZ,China
3OA - 3OZ,China
3PA - 3PZ,China
3QA - 3QZ,China
3RA - 3RZ,China
3SA - 3SZ,China
3TA - 3TZ,China
3UA - 3UZ,China
3VA - 3VZ,Tunisia
3WA - 3WZ,Viet Nam
3XA - 3XZ,Guinea
3YA - 3YZ,Norway
3ZA - 3ZZ,Poland
4AA - 4AZ,Mexico
4BA - 4BZ,Mexico
4CA - 4CZ,Mexico
4DA - 4DZ,Philippines
4EA - 4EZ,Philippines
4FA - 4FZ,Philippines
4GA - 4GZ,Philippines
4HA - 4HZ,Philippines
4IA - 4IZ,Philippines
4JA - 4JZ,Azerbaijan
4KA - 4KZ,Azerbaijan
4LA - 4LZ,Georgia
4MA - 4MZ,Venezuela (Bolivarian Republic of)
4OA - 4OZ,Montenegro
4PA - 4PZ,Sri Lanka
4QA - 4QZ,Sri Lanka
4RA - 4RZ,Sri Lanka
4SA - 4SZ,Sri Lanka
4TA - 4TZ,Peru
4UA - 4UZ,United Nations
4VA - 4VZ,Haiti
4WA - 4WZ,Timor-Leste
4XA - 4XZ,Israel
4YA - 4YZ,International Civil Aviation Organization
4ZA - 4ZZ,Israel
5AA - 5AZ,Libya
5BA - 5BZ,Cyprus
5CA - 5CZ,Morocco
5DA - 5DZ,Morocco
5EA - 5EZ,Morocco
5FA - 5FZ,Morocco
5GA - 5GZ,Morocco
5HA - 5HZ,Tanzania
5IA - 5IZ,Tanzania
5JA - 5JZ,Colombia
5KA - 5KZ,Colombia
5LA - 5LZ,Liberia
5MA - 5MZ,Liberia
5NA - 5NZ,Nigeria
5OA - 5OZ,Nigeria
5PA - 5PZ,Denmark
